phone,calls_made,unique_b_parties,total_duration_s,calls_received,unique_a_parties,total_calls
+917394042807,203.0,42.0,16967.0,125,11,328.0
+918611768292,198.0,47.0,17429.0,128,10,326.0
+916306672398,181.0,41.0,17864.0,144,14,325.0
+918452562575,127.0,29.0,9422.0,198,15,325.0
+919090040167,202.0,38.0,15177.0,123,10,325.0
+918335588295,222.0,46.0,16199.0,102,10,324.0
+918795902065,77.0,24.0,6226.0,243,15,320.0
+918149222373,147.0,36.0,12165.0,172,14,319.0
+918462818817,204.0,45.0,14718.0,111,10,315.0
+918059085708,202.0,28.0,15200.0,113,10,315.0
+919980710646,205.0,33.0,15481.0,107,8,312.0
+916006487113,178.0,34.0,13085.0,133,10,311.0
+916246077008,141.0,31.0,11416.0,166,12,307.0
+916585498514,192.0,47.0,15738.0,115,8,307.0
+917935166757,147.0,30.0,11518.0,157,16,304.0
+916894088552,200.0,39.0,17207.0,98,8,298.0
+919495306697,254.0,38.0,19966.0,43,4,297.0
+916227628962,203.0,33.0,14114.0,93,8,296.0
+918321114508,142.0,35.0,10987.0,150,12,292.0
+919997487548,157.0,36.0,15394.0,134,14,291.0
+919695995412,101.0,26.0,7299.0,188,12,289.0
+918173879651,235.0,51.0,18299.0,54,6,289.0
+919382118159,124.0,21.0,10319.0,165,14,289.0
+917812391348,156.0,35.0,11975.0,132,9,288.0
+918880408181,118.0,16.0,11252.0,170,12,288.0
+918210044032,149.0,32.0,12708.0,138,11,287.0
+918623042155,93.0,24.0,7022.0,193,12,286.0
+916091813681,158.0,36.0,12155.0,128,12,286.0
+919639693636,200.0,37.0,16839.0,86,7,286.0
+917325505159,131.0,27.0,7850.0,155,13,286.0
+916382643732,224.0,31.0,16663.0,61,7,285.0
+918848119541,102.0,26.0,7435.0,183,15,285.0
+918704754445,154.0,33.0,10159.0,130,13,284.0
+919237117275,214.0,31.0,16843.0,70,7,284.0
+919742264945,160.0,33.0,12919.0,123,10,283.0
+918202473250,233.0,36.0,17092.0,48,7,281.0
+919977714521,195.0,40.0,15724.0,86,8,281.0
+916921097726,124.0,31.0,10233.0,157,12,281.0
+917701947401,162.0,37.0,12326.0,119,10,281.0
+916048294235,170.0,32.0,10218.0,109,10,279.0
+916914366972,236.0,48.0,18421.0,42,3,278.0
+919325163659,218.0,57.0,17493.0,58,6,276.0
+916386720397,140.0,31.0,9163.0,136,12,276.0
+918739897659,192.0,40.0,15940.0,83,9,275.0
+916655681478,180.0,35.0,14178.0,94,10,274.0
+916302244877,104.0,19.0,8570.0,170,12,274.0
+919461473187,103.0,33.0,9605.0,171,12,274.0
+919398827119,199.0,40.0,14807.0,74,7,273.0
+917992028801,148.0,32.0,13468.0,124,8,272.0
+916723984235,121.0,32.0,9250.0,150,15,271.0
+918422504004,168.0,37.0,11689.0,102,10,270.0
+919942600243,181.0,31.0,14157.0,89,7,270.0
+916342220921,130.0,36.0,8924.0,139,11,269.0
+917814451391,122.0,25.0,11905.0,146,7,268.0
+917833952280,79.0,23.0,8726.0,188,11,267.0
+919199925996,133.0,30.0,9361.0,133,11,266.0
+918606140014,103.0,32.0,7789.0,162,11,265.0
+917083061192,132.0,28.0,10214.0,133,11,265.0
+917705490618,75.0,18.0,5566.0,188,12,263.0
+918895066082,110.0,20.0,7893.0,153,9,263.0
+917179557445,137.0,32.0,11565.0,124,11,261.0
+916643318329,169.0,27.0,12035.0,92,7,261.0
+918291949356,183.0,37.0,14012.0,78,10,261.0
+918978425896,110.0,26.0,7759.0,150,12,260.0
+917271008318,128.0,30.0,9628.0,131,9,259.0
+918689441045,68.0,29.0,6774.0,190,16,258.0
+918392447579,177.0,36.0,13913.0,81,7,258.0
+916427193370,120.0,33.0,8321.0,138,10,258.0
+916270186140,125.0,28.0,9919.0,133,10,258.0
+916958783924,147.0,31.0,11457.0,110,12,257.0
+918742463794,158.0,29.0,12825.0,99,10,257.0
+918721605472,184.0,36.0,12357.0,73,7,257.0
+916937948410,141.0,24.0,12770.0,115,9,256.0
+919429506027,110.0,30.0,8028.0,145,11,255.0
+916544694099,34.0,12.0,2217.0,221,15,255.0
+917053396633,136.0,31.0,9966.0,118,10,254.0
+918486877238,82.0,19.0,7044.0,172,10,254.0
+917143908206,154.0,35.0,9735.0,99,8,253.0
+918640021011,66.0,15.0,7902.0,187,13,253.0
+916916154468,67.0,12.0,6514.0,186,14,253.0
+917785232626,174.0,34.0,12482.0,78,8,252.0
+918840860766,135.0,23.0,9468.0,117,10,252.0
+917292935273,172.0,38.0,13116.0,76,6,248.0
+919016200483,198.0,39.0,18206.0,50,6,248.0
+917446450194,116.0,29.0,8197.0,132,10,248.0
+919771863449,128.0,33.0,11097.0,118,12,246.0
+919262323307,177.0,40.0,13894.0,69,7,246.0
+917858416164,70.0,16.0,5035.0,176,14,246.0
+916051800324,157.0,34.0,12094.0,89,7,246.0
+918687158733,122.0,25.0,9506.0,123,11,245.0
+916990373779,60.0,17.0,3268.0,184,14,244.0
+917802459650,131.0,24.0,12966.0,113,6,244.0
+917789625717,158.0,20.0,11349.0,86,6,244.0
+918656476402,166.0,45.0,13884.0,77,9,243.0
+919017810073,106.0,29.0,9158.0,136,10,242.0
+918461913894,115.0,21.0,8410.0,127,12,242.0
+918208810607,135.0,30.0,10095.0,105,7,240.0
+919989557642,159.0,34.0,13727.0,81,6,240.0
+916706334379,134.0,24.0,9842.0,106,8,240.0
+919832708882,112.0,23.0,7543.0,127,8,239.0
+916776903156,141.0,33.0,12346.0,98,8,239.0
+917300807943,156.0,26.0,12875.0,83,8,239.0
+916058022855,108.0,27.0,9207.0,129,9,237.0
+917241973931,113.0,25.0,9004.0,124,6,237.0
+918689536467,30.0,10.0,2123.0,207,14,237.0
+917593434055,77.0,16.0,7054.0,160,10,237.0
+917776041515,191.0,48.0,17267.0,45,5,236.0
+916284970242,101.0,29.0,9290.0,135,9,236.0
+919819183914,177.0,40.0,14394.0,58,5,235.0
+917106301926,109.0,28.0,9818.0,125,9,234.0
+916080545992,114.0,27.0,9327.0,118,12,232.0
+918138908450,162.0,35.0,11926.0,69,7,231.0
+918291434977,81.0,16.0,5088.0,149,10,230.0
+917859668635,171.0,31.0,13297.0,58,7,229.0
+918447303277,132.0,29.0,9670.0,97,8,229.0
+917420191084,89.0,28.0,9898.0,140,10,229.0
+919588297102,65.0,17.0,4984.0,164,12,229.0
+916776103126,134.0,43.0,9122.0,95,9,229.0
+916575889151,143.0,27.0,12866.0,85,11,228.0
+916090204530,179.0,32.0,15996.0,49,7,228.0
+918394021688,156.0,33.0,14558.0,71,7,227.0
+918104714126,98.0,24.0,8679.0,129,11,227.0
+917446118252,88.0,22.0,8060.0,138,6,226.0
+916439697710,125.0,23.0,9299.0,101,11,226.0
+917560886948,127.0,30.0,11951.0,99,9,226.0
+916786672246,89.0,22.0,6959.0,136,8,225.0
+919622741846,140.0,35.0,10743.0,85,9,225.0
+917960473770,107.0,36.0,10308.0,118,13,225.0
+917351511220,79.0,21.0,7222.0,144,9,223.0
+917837488954,145.0,35.0,14604.0,78,6,223.0
+918171045222,124.0,38.0,10154.0,98,9,222.0
+918779205342,92.0,23.0,7562.0,130,10,222.0
+919178772513,90.0,14.0,7475.0,131,11,221.0
+919022035120,80.0,12.0,5812.0,141,10,221.0
+919345953674,128.0,26.0,10685.0,93,7,221.0
+918020107558,80.0,22.0,6654.0,141,12,221.0
+916628834112,110.0,32.0,8163.0,111,8,221.0
+916562583316,109.0,24.0,9154.0,111,10,220.0
+918389881375,88.0,21.0,6640.0,132,9,220.0
+917368876537,124.0,18.0,9067.0,96,9,220.0
+918730323219,120.0,19.0,9250.0,99,10,219.0
+917575257064,132.0,33.0,9930.0,85,8,217.0
+916845328571,135.0,33.0,11734.0,82,6,217.0
+919054979847,98.0,23.0,10418.0,118,7,216.0
+917673048151,118.0,27.0,9365.0,97,6,215.0
+916010496413,119.0,24.0,11098.0,96,7,215.0
+917238146740,152.0,31.0,11452.0,63,6,215.0
+918101417078,126.0,28.0,9763.0,89,7,215.0
+918813773116,164.0,36.0,13250.0,50,5,214.0
+916830256995,85.0,20.0,6977.0,129,10,214.0
+919929456591,113.0,38.0,8525.0,101,9,214.0
+919248520367,88.0,13.0,6623.0,125,11,213.0
+916130734182,131.0,38.0,11509.0,81,8,212.0
+917018736005,112.0,30.0,9284.0,100,8,212.0
+919291195045,131.0,29.0,12837.0,81,7,212.0
+916134754174,123.0,25.0,9905.0,89,8,212.0
+919346649100,78.0,20.0,6006.0,133,11,211.0
+916504882353,127.0,28.0,9328.0,84,9,211.0
+917578269611,118.0,20.0,8116.0,93,8,211.0
+918758500703,70.0,23.0,5751.0,141,11,211.0
+917794595645,124.0,40.0,10399.0,87,8,211.0
+917865422700,98.0,25.0,7682.0,113,9,211.0
+916787573037,120.0,18.0,12047.0,90,8,210.0
+918969127384,84.0,22.0,7315.0,126,13,210.0
+919881168369,120.0,30.0,9002.0,90,7,210.0
+917195763378,146.0,32.0,11016.0,63,7,209.0
+919251455465,134.0,19.0,9729.0,75,9,209.0
+917534485707,148.0,28.0,11953.0,61,6,209.0
+918275968997,95.0,22.0,8113.0,113,9,208.0
+919767645739,64.0,20.0,6510.0,144,14,208.0
+919015087717,75.0,25.0,6302.0,132,10,207.0
+916943428907,147.0,25.0,13502.0,59,9,206.0
+918803284020,79.0,21.0,6015.0,127,13,206.0
+916054988257,70.0,17.0,5233.0,136,11,206.0
+919160254626,121.0,20.0,10230.0,83,10,204.0
+916038274365,115.0,25.0,9336.0,89,8,204.0
+916281450195,97.0,27.0,7978.0,107,7,204.0
+916649870873,151.0,29.0,13269.0,52,4,203.0
+918241088500,122.0,27.0,11388.0,81,4,203.0
+919966175946,132.0,41.0,10930.0,69,6,201.0
+916765513077,81.0,25.0,5379.0,120,11,201.0
+917680136895,70.0,26.0,5757.0,131,10,201.0
+917943403280,114.0,32.0,11939.0,87,7,201.0
+917243264470,109.0,30.0,8968.0,92,9,201.0
+919588323233,139.0,38.0,10799.0,62,8,201.0
+919186457589,123.0,28.0,8773.0,75,7,198.0
+917101650257,81.0,18.0,6917.0,117,13,198.0
+918054052203,94.0,19.0,7397.0,104,10,198.0
+919954666052,97.0,26.0,7202.0,100,11,197.0
+916044407276,98.0,22.0,6835.0,99,9,197.0
+919214635276,135.0,38.0,12426.0,62,5,197.0
+917817995788,97.0,20.0,7351.0,100,9,197.0
+916476907742,93.0,26.0,7277.0,104,9,197.0
+917378311165,104.0,32.0,8968.0,92,6,196.0
+919263008115,124.0,31.0,10721.0,71,6,195.0
+917843067483,102.0,34.0,7090.0,93,6,195.0
+919805478666,104.0,25.0,9505.0,90,9,194.0
+916152322496,103.0,15.0,9967.0,90,10,193.0
+918584121833,66.0,27.0,6362.0,127,10,193.0
+918361725864,51.0,13.0,4091.0,142,8,193.0
+916279221742,71.0,13.0,6521.0,122,10,193.0
+916726377264,63.0,18.0,5037.0,129,10,192.0
+917022759595,78.0,24.0,6966.0,114,11,192.0
+917404527839,65.0,19.0,5386.0,126,9,191.0
+919351490028,129.0,25.0,10454.0,62,7,191.0
+918922479774,85.0,27.0,5923.0,105,8,190.0
+916146766927,69.0,15.0,6762.0,121,8,190.0
+919125031489,160.0,39.0,11839.0,29,3,189.0
+919896412634,67.0,21.0,6233.0,122,7,189.0
+919454754435,84.0,24.0,6699.0,105,12,189.0
+918075741764,156.0,24.0,12409.0,32,4,188.0
+918191446857,89.0,22.0,8760.0,99,6,188.0
+916351169293,70.0,20.0,6055.0,118,9,188.0
+919437089556,86.0,27.0,6035.0,102,10,188.0
+919190665048,116.0,24.0,10631.0,72,6,188.0
+919827773348,67.0,16.0,5473.0,120,9,187.0
+916245344475,145.0,34.0,13388.0,42,4,187.0
+919325021664,67.0,18.0,4676.0,120,9,187.0
+917292445266,47.0,14.0,4212.0,140,9,187.0
+918963060672,114.0,22.0,8873.0,73,8,187.0
+917984219303,88.0,25.0,6415.0,99,9,187.0
+918837165914,125.0,24.0,9735.0,61,8,186.0
+916464332961,153.0,31.0,12609.0,33,4,186.0
+918285389354,123.0,29.0,10649.0,62,7,185.0
+916051226122,115.0,22.0,7491.0,69,7,184.0
+919573222418,40.0,11.0,2754.0,144,12,184.0
+919349136289,107.0,30.0,7715.0,76,9,183.0
+918763668455,96.0,23.0,7202.0,87,9,183.0
+919361653078,145.0,23.0,11859.0,37,5,182.0
+916574486642,131.0,40.0,11002.0,51,7,182.0
+916691555042,71.0,17.0,6790.0,110,8,181.0
+917446745422,145.0,29.0,10442.0,36,6,181.0
+919686560609,90.0,22.0,7175.0,91,6,181.0
+916305700354,48.0,15.0,5202.0,133,13,181.0
+916861911094,96.0,23.0,6850.0,85,11,181.0
+916351164177,81.0,21.0,6818.0,98,9,179.0
+919722887352,133.0,23.0,11292.0,46,5,179.0
+919299482632,109.0,24.0,9525.0,70,6,179.0
+919378220674,90.0,23.0,7900.0,87,8,177.0
+918290616496,121.0,26.0,9898.0,56,6,177.0
+916355945616,58.0,11.0,5249.0,119,10,177.0
+918893147732,63.0,19.0,4370.0,114,6,177.0
+917746155057,53.0,19.0,3324.0,124,7,177.0
+918972637123,50.0,18.0,3797.0,127,9,177.0
+917337541513,85.0,22.0,4898.0,91,8,176.0
+916762758123,79.0,15.0,4658.0,97,9,176.0
+919288132902,97.0,36.0,7240.0,78,8,175.0
+917507968295,90.0,12.0,8132.0,85,5,175.0
+918432319315,100.0,21.0,10374.0,75,7,175.0
+916502066713,108.0,25.0,9614.0,65,7,173.0
+919151369982,90.0,25.0,7206.0,83,8,173.0
+919494611704,121.0,27.0,9153.0,52,6,173.0
+919444991128,101.0,16.0,7815.0,71,8,172.0
+916064767401,135.0,25.0,9162.0,37,4,172.0
+919798144557,122.0,24.0,8894.0,49,4,171.0
+918044611401,99.0,28.0,6148.0,71,6,170.0
+919356363134,53.0,12.0,3401.0,117,6,170.0
+919049006422,85.0,19.0,7734.0,84,6,169.0
+919472477843,104.0,23.0,7490.0,65,9,169.0
+918538512642,71.0,18.0,6359.0,98,8,169.0
+919723232248,111.0,20.0,8973.0,57,6,168.0
+917939466847,71.0,26.0,6411.0,97,8,168.0
+918280544103,47.0,15.0,3310.0,121,9,168.0
+918572563383,57.0,11.0,3104.0,110,8,167.0
+918526853964,102.0,19.0,7673.0,65,4,167.0
+917020336211,84.0,21.0,6659.0,83,6,167.0
+918791238423,59.0,21.0,4936.0,107,9,166.0
+917562849037,57.0,12.0,4091.0,109,8,166.0
+918759478429,60.0,21.0,5601.0,106,9,166.0
+916026607527,72.0,20.0,5673.0,93,7,165.0
+918777505274,24.0,12.0,2313.0,140,10,164.0
+918248309168,54.0,18.0,3870.0,108,8,162.0
+916843261431,107.0,23.0,7522.0,55,4,162.0
+919480729953,81.0,22.0,4905.0,80,7,161.0
+917644142587,108.0,23.0,10265.0,53,8,161.0
+919136296027,96.0,22.0,9321.0,65,7,161.0
+916765098129,54.0,19.0,4845.0,106,9,160.0
+917463442570,84.0,13.0,6021.0,75,4,159.0
+918801832510,136.0,26.0,11377.0,22,4,158.0
+916481948779,57.0,16.0,4026.0,101,5,158.0
+919400202190,99.0,24.0,8104.0,59,7,158.0
+917163268487,68.0,18.0,6131.0,90,7,158.0
+919093167108,132.0,33.0,12042.0,26,4,158.0
+917023186951,100.0,16.0,8763.0,57,6,157.0
+919042140949,40.0,12.0,3720.0,117,8,157.0
+917608485568,74.0,15.0,5963.0,83,9,157.0
+917020907558,85.0,21.0,7266.0,71,7,156.0
+916452938346,51.0,22.0,5852.0,105,9,156.0
+919992060094,92.0,17.0,7047.0,64,6,156.0
+916124039983,56.0,21.0,4563.0,99,6,155.0
+918258072611,77.0,19.0,6950.0,78,6,155.0
+917047956892,69.0,20.0,4882.0,86,9,155.0
+917581852074,52.0,20.0,4745.0,102,10,154.0
+916460695429,84.0,25.0,6406.0,70,6,154.0
+917046204632,61.0,15.0,4095.0,93,8,154.0
+919919910706,43.0,18.0,2794.0,109,9,152.0
+917135137906,88.0,21.0,7476.0,63,4,151.0
+918480860329,75.0,12.0,7106.0,75,7,150.0
+917844626423,54.0,14.0,4592.0,96,10,150.0
+918183450531,47.0,12.0,3910.0,102,8,149.0
+917876819542,91.0,29.0,8168.0,58,7,149.0
+916147717820,121.0,25.0,8075.0,28,2,149.0
+919723608203,65.0,12.0,4790.0,82,7,147.0
+919105845759,46.0,14.0,2557.0,100,9,146.0
+918332271345,85.0,26.0,7166.0,61,7,146.0
+917468933862,49.0,14.0,5520.0,96,10,145.0
+918994738321,58.0,15.0,3697.0,87,6,145.0
+918633560896,86.0,25.0,6255.0,59,4,145.0
+916530073829,65.0,15.0,6734.0,79,8,144.0
+919967192949,84.0,18.0,6990.0,59,4,143.0
+917568815375,47.0,15.0,4761.0,96,7,143.0
+918515994270,68.0,20.0,5554.0,74,6,142.0
+916364826792,71.0,18.0,5769.0,71,7,142.0
+919488491925,68.0,23.0,7808.0,73,6,141.0
+916200067404,62.0,12.0,6084.0,78,7,140.0
+917256454339,33.0,9.0,2954.0,106,8,139.0
+916097075945,76.0,19.0,7830.0,62,7,138.0
+918318427710,91.0,22.0,7395.0,47,4,138.0
+919850880135,101.0,24.0,6144.0,37,4,138.0
+918415729670,87.0,26.0,6360.0,49,5,136.0
+917412403448,72.0,21.0,5347.0,64,9,136.0
+919957584349,38.0,13.0,3146.0,98,10,136.0
+916762768981,102.0,26.0,8170.0,33,3,135.0
+918374813713,60.0,21.0,4076.0,75,8,135.0
+918143884566,73.0,14.0,5927.0,62,5,135.0
+917313258513,67.0,19.0,7589.0,68,7,135.0
+916125216679,88.0,28.0,5356.0,47,5,135.0
+918218496552,52.0,18.0,4506.0,82,6,134.0
+919954708302,36.0,12.0,3349.0,98,7,134.0
+917919519366,61.0,28.0,4699.0,72,7,133.0
+918559433871,78.0,21.0,6835.0,54,6,132.0
+918362375604,68.0,22.0,4795.0,64,6,132.0
+917697206595,75.0,18.0,6595.0,56,6,131.0
+919424159526,65.0,24.0,4707.0,66,5,131.0
+918270943564,60.0,16.0,3127.0,69,8,129.0
+917895797211,84.0,22.0,6854.0,44,3,128.0
+916946666469,74.0,16.0,8089.0,54,5,128.0
+919513762581,50.0,18.0,6101.0,77,4,127.0
+916193837401,60.0,21.0,6842.0,65,8,125.0
+917972848100,79.0,21.0,6809.0,45,3,124.0
+917522138966,48.0,13.0,3710.0,74,10,122.0
+918590985631,20.0,9.0,1474.0,101,9,121.0
+917518229786,79.0,15.0,6898.0,37,5,116.0
+918363885308,30.0,10.0,2247.0,81,6,111.0
+916054563891,58.0,12.0,4011.0,52,5,110.0
+917667987966,71.0,21.0,4146.0,38,5,109.0
+918875584213,49.0,9.0,3831.0,59,5,108.0
+919927392277,54.0,14.0,4646.0,50,7,104.0
+916953518715,32.0,18.0,2329.0,70,7,102.0
+919537675202,67.0,19.0,6315.0,33,4,100.0
+919221263787,12.0,6.0,2177.0,87,9,99.0
+918523286834,50.0,14.0,3774.0,45,5,95.0
+917217252603,63.0,18.0,5604.0,28,4,91.0
+919059088942,41.0,17.0,4058.0,48,4,89.0
+916256057257,36.0,16.0,3127.0,53,4,89.0
+916360772162,41.0,14.0,3269.0,46,4,87.0
+918457616974,55.0,19.0,4773.0,16,2,71.0
+918620015086,46.0,14.0,3549.0,25,3,71.0
+918367755424,53.0,14.0,6971.0,13,2,66.0
+918702874518,0.0,0.0,0.0,13,5,13.0
+917720448191,0.0,0.0,0.0,12,4,12.0
+919731992528,0.0,0.0,0.0,12,4,12.0
+918144510395,0.0,0.0,0.0,12,6,12.0
+919372092087,0.0,0.0,0.0,11,5,11.0
+919191416292,0.0,0.0,0.0,11,4,11.0
+918281130898,0.0,0.0,0.0,11,5,11.0
+919512098202,0.0,0.0,0.0,10,5,10.0
+916633329033,0.0,0.0,0.0,10,4,10.0
+918593326951,0.0,0.0,0.0,10,7,10.0
+916230361648,0.0,0.0,0.0,10,4,10.0
+918990146422,0.0,0.0,0.0,10,4,10.0
+916046139789,0.0,0.0,0.0,9,5,9.0
+917295917573,0.0,0.0,0.0,9,3,9.0
+919037301326,0.0,0.0,0.0,9,6,9.0
+917727149582,0.0,0.0,0.0,9,5,9.0
+916902317343,0.0,0.0,0.0,9,9,9.0
+917977259063,0.0,0.0,0.0,9,4,9.0
+918793344333,0.0,0.0,0.0,9,9,9.0
+916171283397,0.0,0.0,0.0,9,3,9.0
+916363108042,0.0,0.0,0.0,9,9,9.0
+916550237685,0.0,0.0,0.0,8,8,8.0
+916632999722,0.0,0.0,0.0,8,8,8.0
+919929971260,0.0,0.0,0.0,8,8,8.0
+919537932373,0.0,0.0,0.0,8,8,8.0
+919736731093,0.0,0.0,0.0,8,3,8.0
+918806242700,0.0,0.0,0.0,8,2,8.0
+919281720407,0.0,0.0,0.0,8,8,8.0
+919626003232,0.0,0.0,0.0,8,6,8.0
+916002820944,0.0,0.0,0.0,8,2,8.0
+916072084573,0.0,0.0,0.0,8,2,8.0
+917040363624,0.0,0.0,0.0,8,3,8.0
+919897214604,0.0,0.0,0.0,8,8,8.0
+918110383086,0.0,0.0,0.0,8,8,8.0
+919652457400,0.0,0.0,0.0,8,7,8.0
+919974032684,0.0,0.0,0.0,8,8,8.0
+916151486608,0.0,0.0,0.0,7,4,7.0
+919078011972,0.0,0.0,0.0,7,7,7.0
+918064718840,0.0,0.0,0.0,7,7,7.0
+917288572792,0.0,0.0,0.0,7,7,7.0
+917191151169,0.0,0.0,0.0,7,7,7.0
+916060100906,0.0,0.0,0.0,7,6,7.0
+917091234637,0.0,0.0,0.0,7,4,7.0
+917577188882,0.0,0.0,0.0,7,3,7.0
+919041941961,0.0,0.0,0.0,7,7,7.0
+919402366368,0.0,0.0,0.0,7,3,7.0
+918839011730,0.0,0.0,0.0,7,7,7.0
+917406500788,0.0,0.0,0.0,7,7,7.0
+917466914501,0.0,0.0,0.0,7,2,7.0
+919225814288,0.0,0.0,0.0,7,3,7.0
+918449579378,0.0,0.0,0.0,7,7,7.0
+916780016787,0.0,0.0,0.0,7,7,7.0
+918909716436,0.0,0.0,0.0,7,7,7.0
+916817784359,0.0,0.0,0.0,7,7,7.0
+916148144585,0.0,0.0,0.0,7,7,7.0
+918275958124,0.0,0.0,0.0,7,7,7.0
+916149612042,0.0,0.0,0.0,7,7,7.0
+918192611780,0.0,0.0,0.0,7,7,7.0
+916534815257,0.0,0.0,0.0,7,7,7.0
+919429310703,0.0,0.0,0.0,7,3,7.0
+918127997912,0.0,0.0,0.0,7,7,7.0
+916119272667,0.0,0.0,0.0,7,7,7.0
+917152824246,0.0,0.0,0.0,7,7,7.0
+916778046404,0.0,0.0,0.0,7,3,7.0
+919799597581,0.0,0.0,0.0,7,7,7.0
+919333901272,0.0,0.0,0.0,7,7,7.0
+918373609735,0.0,0.0,0.0,7,7,7.0
+919179914263,0.0,0.0,0.0,6,6,6.0
+917592045616,0.0,0.0,0.0,6,6,6.0
+916942664424,0.0,0.0,0.0,6,6,6.0
+919188699021,0.0,0.0,0.0,6,6,6.0
+919864970552,0.0,0.0,0.0,6,6,6.0
+918768494194,0.0,0.0,0.0,6,6,6.0
+918033629477,0.0,0.0,0.0,6,6,6.0
+919945436281,0.0,0.0,0.0,6,6,6.0
+918794240380,0.0,0.0,0.0,6,6,6.0
+916146378665,0.0,0.0,0.0,6,6,6.0
+918557143056,0.0,0.0,0.0,6,6,6.0
+918578314572,0.0,0.0,0.0,6,6,6.0
+916143158019,0.0,0.0,0.0,6,6,6.0
+919947302190,0.0,0.0,0.0,6,6,6.0
+919527712655,0.0,0.0,0.0,6,6,6.0
+918767205582,0.0,0.0,0.0,6,3,6.0
+918638328601,0.0,0.0,0.0,6,3,6.0
+917634960727,0.0,0.0,0.0,6,6,6.0
+919526633475,0.0,0.0,0.0,6,6,6.0
+916252281018,0.0,0.0,0.0,6,6,6.0
+917980891670,0.0,0.0,0.0,6,6,6.0
+917317610511,0.0,0.0,0.0,6,6,6.0
+919104772587,0.0,0.0,0.0,6,6,6.0
+916256144140,0.0,0.0,0.0,6,3,6.0
+916844208891,0.0,0.0,0.0,6,6,6.0
+916841588670,0.0,0.0,0.0,6,6,6.0
+919963097168,0.0,0.0,0.0,6,6,6.0
+916295172247,0.0,0.0,0.0,6,6,6.0
+917675390139,0.0,0.0,0.0,6,6,6.0
+918675722322,0.0,0.0,0.0,6,6,6.0
+919651166620,0.0,0.0,0.0,6,5,6.0
+919126799222,0.0,0.0,0.0,6,6,6.0
+916250852407,0.0,0.0,0.0,6,6,6.0
+918728482621,0.0,0.0,0.0,6,6,6.0
+919375762533,0.0,0.0,0.0,6,5,6.0
+919088652756,0.0,0.0,0.0,6,3,6.0
+919373565001,0.0,0.0,0.0,6,6,6.0
+918210180826,0.0,0.0,0.0,6,6,6.0
+916730734658,0.0,0.0,0.0,6,6,6.0
+916731042731,0.0,0.0,0.0,6,4,6.0
+919592720250,0.0,0.0,0.0,6,6,6.0
+919065479464,0.0,0.0,0.0,6,6,6.0
+916194899766,0.0,0.0,0.0,6,6,6.0
+919065709644,0.0,0.0,0.0,6,6,6.0
+919975826885,0.0,0.0,0.0,6,6,6.0
+918743857097,0.0,0.0,0.0,6,6,6.0
+916751429532,0.0,0.0,0.0,6,6,6.0
+919070388147,0.0,0.0,0.0,6,6,6.0
+919656047932,0.0,0.0,0.0,6,6,6.0
+916213156821,0.0,0.0,0.0,6,6,6.0
+917923039746,0.0,0.0,0.0,6,6,6.0
+916665587720,0.0,0.0,0.0,6,6,6.0
